# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20170601-20170630
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
MAP,SELECT,MAP:SELECT:Trafikmeldinger,229.314,129.581,129.581,35.031
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,104.442,51.261,51.261,19.662
WEBCAM,OPEN,(not set),42.736,10.774,10.774,4.466
NAVIGATIONMENU,OPEN,(not set),23.196,14.269,14.269,9.998
EVENT,SELECT,EVENT:SELECT:CENTERPOSITION_ICON,23.052,13.786,13.786,6.443
LIST,OPEN,(not set),18.771,14.927,14.927,8.749
MAP,SELECT,MAP:SELECT:Webkamera,16.996,10.095,10.095,4.723
MAP,SELECT,MAP:SELECT:Vejarbejder,14.785,9.437,9.437,6.212
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,13.664,9.793,9.793,5.970
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,7.586,3.358,3.358,2.533
LIST,SELECT,LIST:SELECT:section:Vejarbejder,5.939,4.490,4.490,3.747
MAP,SELECT,MAP:SELECT:Pladser,5.837,3.788,3.788,2.881
EVENT,OPEN,EVENT:OPEN:fullscreen,5.066,4.233,4.233,3.638
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,4.767,3.564,3.564,2.919
LIST,SELECT,LIST:SELECT:section:Webkamera,4.293,2.873,2.873,2.180
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,4.139,3.299,3.299,2.485
EVENT,START,(not set),3.668,1.859,1.859,1.620
LIST,SELECT,LIST:SELECT:section:P4 Trafik,3.564,2.474,2.474,1.650
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,2.762,2.104,2.104,1.494
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,2.504,2.007,2.007,1.717
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,2.156,1.884,1.884,1.572
LIST,SELECT,LIST:SELECT:section:Pladser,2.005,1.350,1.350,1.261
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,1.533,1.327,1.327,1.108
LIST,SELECT,LIST:SELECT:section:Rejsetider,1.502,1.077,1.077,878
LIST,SELECT,LIST:SELECT:section:Bro,1.344,844,844,718
WEBCAM,FOLLOW,(not set),1.102,410,410,345
LIST,SELECT,LIST:SELECT:section:Tunnel,963,643,643,576
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_ON,835,771,771,710
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk/DA/trafik/sommertrafikken/Sider/Default.aspx?utm_source=trafikinfoApp&utm_medium=link&utm_content=&utm_campaign=sommertrafik17,807,757,757,712
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,798,683,683,638
EVENT,OPEN,EVENT:OPEN:fullscreen:ferry,699,514,514,434
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,544,492,492,470
LIST,SELECT,LIST:SELECT:section:Færger,510,378,378,344
MAP,SELECT,MAP:SELECT:Trafikinfo,506,114,114,25
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_OFF,481,446,446,406
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,410,373,373,351
EVENT,OPEN,EVENT:OPEN:fullscreen:trim,386,213,213,148
LIST,SELECT,LIST:SELECT:subsection:rejsetider,384,210,210,146
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk/DA/trafik/helligdagstrafik/Sider/pinsetrafikken.aspx?utm_source=trafikinfoApp&utm_medium=link&utm_content=&utm_campaign=pinsetrafik17,263,247,247,233
FEEDBACK,SELECT,FEEDBACK:SELECT:phonelink:80202060,256,225,225,179
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventB,242,169,169,154
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:FEEDBACK,173,162,162,156
MAP,SELECT,MAP:SELECT:Vejarbejde,141,43,43,15
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:vintertrafik://launch,116,108,108,107
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventB,54,27,27,25
MAP,SELECT,MAP:SELECT:Meldinger,13,9,9,5
LIST,SELECT,LIST:SELECT:section_Rejsetider,12,5,5,4
LIST,SELECT,LIST:SELECT:itemtype_TrimContent,10,3,3,3
LIST,SELECT,LIST:SELECT:section_Vejarbejder,10,4,4,3
LIST,SELECT,LIST:SELECT:section_Trafikmeldinger,8,3,3,3
MAP,SELECT,MAP:SELECT:Listevisning,8,8,8,5
LIST,SELECT,LIST:SELECT:section:Bro og Tunnel,7,5,5,5
LIST,SELECT,LIST:SELECT:section_Bro,6,3,3,3
LIST,SELECT,LIST:SELECT:section_Færger,6,3,3,3
LIST,SELECT,LIST:SELECT:section_Pladser,6,3,3,3
LIST,SELECT,LIST:SELECT:section_Tunnel,6,2,2,2
LIST,SELECT,LIST:SELECT:section_Webkamera,6,3,3,3
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SENDPOSITION_ON,6,6,6,5
LIST,SELECT,LIST:SELECT:itemtype_FerryContent,5,2,2,2
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SENDPOSITION_OFF,5,4,4,4
PLACE,OPEN,PLACE:OPEN:parking,5,2,2,2
PLACE,OPEN,PLACE:OPEN:samkoersel,5,3,3,2
ERROR,ERROR,ERROR:ERROR:Push check - invalid local subscription found. Area ID is nil!,4,4,4,3
LIST,SELECT,LIST:SELECT:itemtype_RoadworkContent,4,3,3,2
LIST,SELECT,LIST:SELECT:itemtype_TrafficContent,3,1,1,1
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk,3,3,3,3
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk/DA/trafik/helligdagstrafik/Sider/kristihimmelfart.aspx?utm_source=trafikinfoApp&utm_medium=link&utm_content=&utm_campaign=kristihimmelfart17,3,3,3,3
LIST,SELECT,LIST:SELECT:subsection_rejsetider,2,2,2,1
LIST,SELECT,LIST:SELECT:itemtype_BridgeContent,1,1,1,1
LIST,SELECT,LIST:SELECT:itemtype_P4EventContent,1,1,1,1
LIST,SELECT,LIST:SELECT:itemtype_PlaceContent,1,1,1,1
LIST,SELECT,LIST:SELECT:itemtype_WebcamContent,1,1,1,1
MAP,SELECT,(not set),1,1,1,1
MAP,SELECT,MAP:SELECT:Cykel/saltning,1,1,1,1
MAP,SELECT,MAP:SELECT:P4 meldinger,1,1,1,1
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://vejdirektoratet.dk/DA/trafik/helligdagstrafik/Sider/Default.aspx?utm_source=trafikinfoApp&utm_medium=link&utm_content=&utm_campaign=storebededag17,1,1,1,1
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://Www.vejdirektoratet.dk,1,1,1,1
PLACE,OPEN,PLACE:OPEN:rasteplads,1,1,1,1
