# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20171101-20171130
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
MAP,SELECT,MAP:SELECT:Trafikinfo,232.788,128.365,128.365,30.001
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,103.912,54.584,54.584,19.651
NAVIGATIONMENU,OPEN,(not set),28.425,16.183,16.183,10.528
WEBCAM,OPEN,(not set),24.452,7.499,7.499,3.570
EVENT,SELECT,EVENT:SELECT:CENTERPOSITION_ICON,21.935,16.308,16.308,7.560
MAP,SELECT,MAP:SELECT:Vejarbejde,17.011,11.762,11.762,8.285
LIST,OPEN,(not set),13.332,9.761,9.761,6.347
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,10.422,7.768,7.768,4.788
MAP,SELECT,MAP:SELECT:Webkamera,10.017,6.315,6.315,3.086
LIST,SELECT,LIST:SELECT:section_Trafikmeldinger,9.157,6.609,6.609,4.046
LIST,SELECT,LIST:SELECT:itemtype_P4EventContent,8.792,3.410,3.410,2.393
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,6.569,2.968,2.968,2.343
EVENT,OPEN,EVENT:OPEN:fullscreen,5.050,4.258,4.258,3.532
LIST,SELECT,LIST:SELECT:itemtype_WebcamContent,4.503,1.621,1.621,1.246
LIST,SELECT,LIST:SELECT:section_Vejarbejder,4.225,3.157,3.157,2.677
MAP,SELECT,MAP:SELECT:P4 Trafik,3.922,2.846,2.846,1.854
LIST,SELECT,LIST:SELECT:section_Webkamera,3.700,2.529,2.529,2.008
MAP,SELECT,MAP:SELECT:Trafikmeldinger,3.488,2.089,2.089,645
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,3.308,2.700,2.700,2.054
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,3.012,2.400,2.400,1.834
EVENT,START,(not set),2.999,1.814,1.814,1.591
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,2.198,1.888,1.888,1.484
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,2.149,1.885,1.885,1.542
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,2.052,1.705,1.705,1.364
