# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20180201-20180228
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
MAP,SELECT,MAP:SELECT:Trafikinfo,274.874,159.568,159.568,37.649
WEBCAM,OPEN,(not set),162.151,29.583,29.583,11.504
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,117.846,61.136,61.136,22.168
MAP,SELECT,MAP:SELECT:Webkamera,55.836,31.068,31.068,12.424
NAVIGATIONMENU,OPEN,(not set),34.341,19.375,19.375,12.609
EVENT,SELECT,EVENT:SELECT:CENTERPOSITION_ICON,21.216,16.061,16.061,8.830
MAP,SELECT,MAP:SELECT:Vejarbejde,18.389,12.725,12.725,9.084
LIST,SELECT,LIST:SELECT:section_Trafikmeldinger,17.290,11.175,11.175,6.884
LIST,SELECT,LIST:SELECT:itemtype_WebcamContent,17.180,3.917,3.917,2.451
LIST,OPEN,(not set),13.134,10.232,10.232,7.048
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,12.806,9.454,9.454,6.492
LIST,SELECT,LIST:SELECT:itemtype_P4EventContent,11.548,4.338,4.338,3.208
LIST,SELECT,LIST:SELECT:section_Webkamera,9.997,5.445,5.445,3.518
EVENT,OPEN,EVENT:OPEN:fullscreen,8.420,6.883,6.883,5.160
MAP,SELECT,MAP:SELECT:P4 Trafik,4.707,3.378,3.378,2.326
LIST,SELECT,LIST:SELECT:section_Vejarbejder,4.564,3.201,3.201,2.672
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,4.367,2.252,2.252,1.889
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,3.223,2.732,2.732,2.048
WEBCAM,FOLLOW,(not set),3.065,1.392,1.392,1.098
LIST,SELECT,LIST:SELECT:section_P4 Trafik,2.681,1.526,1.526,1.145
MAP,SELECT,MAP:SELECT:Pladser,2.559,1.558,1.558,1.414
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,2.544,2.080,2.080,1.507
EVENT,START,(not set),2.446,1.397,1.397,1.242
