# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20180301-20180331
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
MAP,SELECT,MAP:SELECT:Trafikinfo,11.108,6.336,6.336,1.481
WEBCAM,OPEN,(not set),3.676,737,737,257
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,3.326,1.846,1.846,661
NAVIGATIONMENU,OPEN,(not set),1.084,674,674,460
LIST,SELECT,LIST:SELECT:itemtype_WebcamContent,1.061,211,211,84
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,863,559,559,263
MAP,SELECT,MAP:SELECT:Webkamera,827,603,603,234
LIST,SELECT,LIST:SELECT:section_Trafikmeldinger,776,537,537,280
EVENT,SELECT,EVENT:SELECT:CENTERPOSITION_ICON,650,502,502,215
LIST,OPEN,(not set),640,473,473,299
MAP,SELECT,MAP:SELECT:Vejarbejde,624,434,434,310
LIST,SELECT,LIST:SELECT:section_S-Tog - Hovedstaden,443,244,244,160
MAP,SELECT,MAP:SELECT:Temperatur,402,295,295,130
EVENT,OPEN,EVENT:OPEN:fullscreen,380,297,297,211
LIST,SELECT,LIST:SELECT:section_Webkamera,374,246,246,116
LIST,SELECT,LIST:SELECT:itemtype_P4EventContent,229,146,146,114
LIST,SELECT,LIST:SELECT:section_Bus - Hovedstaden,217,137,137,90
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,212,92,92,72
LIST,SELECT,LIST:SELECT:section_Tog - Hovedstaden,188,127,127,89
MAP,SELECT,MAP:SELECT:P4 Trafik,174,120,120,66
WEBCAM,FOLLOW,(not set),152,50,50,30
MAP,SELECT,MAP:SELECT:Cykel/saltning,117,72,72,51
LIST,SELECT,LIST:SELECT:section_Vejarbejder,110,73,73,64
MAP,SELECT,MAP:SELECT:Trafikmeldinger,105,71,71,15
LIST,SELECT,LIST:SELECT:section_Metro - Hovedstaden,103,69,69,56
LIST,SELECT,LIST:SELECT:section_Temperatur og Vind,93,72,72,43
LIST,SELECT,LIST:SELECT:section_Rejsetider,91,67,67,64
MAP,SELECT,MAP:SELECT:Listevisning,91,74,74,57
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,89,80,80,49
LIST,SELECT,LIST:SELECT:section_P4 Trafik,87,58,58,50
LIST,SELECT,LIST:SELECT:section_Twitter,78,51,51,36
LIST,SELECT,LIST:SELECT:itemtype_STrainContent,74,57,57,51
EVENT,OPEN,EVENT:OPEN:fullscreen:s-train,73,57,57,51
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,69,61,61,38
EVENT,OPEN,EVENT:OPEN:fullscreen:bus,66,30,30,24
LIST,SELECT,LIST:SELECT:itemtype_BusContent,66,30,30,24
LIST,SELECT,LIST:SELECT:itemtype_TrafficContent,66,48,48,38
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,50,40,40,29
LIST,SELECT,LIST:SELECT:itemtype_TrainContent,45,33,33,28
EVENT,OPEN,EVENT:OPEN:fullscreen:train,42,33,33,28
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:vintertrafik://launch,42,40,40,38
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,28,24,24,24
LIST,SELECT,LIST:SELECT:section_Lokaltog - Hovedstaden,26,22,22,20
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,20,19,19,17
EVENT,OPEN,EVENT:OPEN:fullscreen:trim,17,12,12,12
LIST,SELECT,LIST:SELECT:itemtype_TrimContent,16,11,11,11
LIST,SELECT,LIST:SELECT:itemtype_RoadworkContent,13,11,11,11
LIST,SELECT,LIST:SELECT:itemtype_TwitterContent,12,10,10,7
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:ibikecph://trafikkenhovedstaden,11,10,10,9
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,10,6,6,2
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventB,6,5,5,5
LIST,SELECT,LIST:SELECT:section:Temperatur og Vind,6,4,4,1
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk/DA/trafik/paasketrafikken/Sider/default.aspx,6,6,6,6
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,5,5,5,5
MAP,SELECT,MAP:SELECT:Vejarbejder,5,3,3,1
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:FEEDBACK,5,5,5,5
EVENT,OPEN,EVENT:OPEN:fullscreen:metro,4,4,4,3
LIST,SELECT,LIST:SELECT:itemtype_MetroContent,4,4,4,3
LIST,SELECT,LIST:SELECT:section:P4 Trafik,4,2,2,2
LIST,SELECT,LIST:SELECT:itemtype_WindTemperatureContent,3,3,3,3
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventB,2,2,2,2
LIST,SELECT,LIST:SELECT:section:Rejsetider,1,1,1,1
LIST,SELECT,LIST:SELECT:subsection:rejsetider,1,1,1,1
