# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20180401-20180430
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
MAP,SELECT,MAP:SELECT:Trafikinfo,8.232,4.549,4.549,1.153
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,2.453,1.348,1.348,512
WEBCAM,OPEN,(not set),1.126,332,332,131
NAVIGATIONMENU,OPEN,(not set),629,395,395,267
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,583,387,387,187
EVENT,SELECT,EVENT:SELECT:CENTERPOSITION_ICON,497,386,386,161
MAP,SELECT,MAP:SELECT:Vejarbejde,412,274,274,216
MAP,SELECT,MAP:SELECT:Webkamera,401,277,277,118
LIST,OPEN,(not set),368,286,286,178
LIST,SELECT,LIST:SELECT:section_Trafikmeldinger,293,213,213,115
EVENT,OPEN,EVENT:OPEN:fullscreen,260,202,202,144
LIST,SELECT,LIST:SELECT:itemtype_WebcamContent,184,75,75,39
LIST,SELECT,LIST:SELECT:section_S-Tog - Hovedstaden,183,112,112,76
LIST,SELECT,LIST:SELECT:section_Bus - Hovedstaden,157,92,92,78
LIST,SELECT,LIST:SELECT:itemtype_P4EventContent,154,76,76,63
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,133,61,61,53
LIST,SELECT,LIST:SELECT:section_Webkamera,124,96,96,57
MAP,SELECT,MAP:SELECT:P4 Trafik,121,83,83,54
MAP,SELECT,MAP:SELECT:Temperatur,101,74,74,57
LIST,SELECT,LIST:SELECT:section_Metro - Hovedstaden,95,59,59,42
LIST,SELECT,LIST:SELECT:section_Tog - Hovedstaden,95,60,60,42
LIST,SELECT,LIST:SELECT:section_Vejarbejder,90,66,66,57
MAP,SELECT,MAP:SELECT:Listevisning,68,53,53,43
LIST,SELECT,LIST:SELECT:section_Rejsetider,56,41,41,37
MAP,SELECT,MAP:SELECT:Trafikmeldinger,55,20,20,9
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,55,49,49,30
LIST,SELECT,LIST:SELECT:itemtype_STrainContent,54,33,33,30
WEBCAM,FOLLOW,(not set),54,24,24,19
EVENT,OPEN,EVENT:OPEN:fullscreen:s-train,53,33,33,30
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,46,43,43,28
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,44,41,41,24
