# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20180501-20180531
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
MAP,SELECT,MAP:SELECT:Trafikinfo,242.679,137.998,137.998,35.411
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,106.273,52.391,52.391,19.963
WEBCAM,OPEN,(not set),43.181,10.965,10.965,5.097
EVENT,SELECT,EVENT:SELECT:CENTERPOSITION_ICON,23.276,17.177,17.177,8.175
MAP,SELECT,MAP:SELECT:Webkamera,22.249,12.885,12.885,6.435
NAVIGATIONMENU,OPEN,(not set),21.383,11.961,11.961,8.055
MAP,SELECT,MAP:SELECT:Vejarbejde,14.898,9.916,9.916,6.953
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,8.939,6.796,6.796,4.400
LIST,SELECT,LIST:SELECT:itemtype_P4EventContent,8.382,3.206,3.206,2.324
EVENT,OPEN,EVENT:OPEN:fullscreen,8.171,6.734,6.734,4.181
LIST,OPEN,(not set),7.472,5.907,5.907,4.148
LIST,SELECT,LIST:SELECT:section_Trafikmeldinger,6.778,4.729,4.729,2.959
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,5.864,2.607,2.607,1.907
MAP,SELECT,MAP:SELECT:P4 Trafik,4.245,2.973,2.973,1.953
LIST,SELECT,LIST:SELECT:section_Vejarbejder,3.363,2.410,2.410,1.995
LIST,SELECT,LIST:SELECT:itemtype_WebcamContent,3.185,1.062,1.062,768
LIST,SELECT,LIST:SELECT:section_Webkamera,2.716,1.699,1.699,1.295
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,2.328,1.978,1.978,1.448
EVENT,START,(not set),2.052,1.215,1.215,1.071
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,1.760,1.462,1.462,1.045
MAP,SELECT,MAP:SELECT:Pladser,1.568,913,913,774
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,1.461,1.267,1.267,1.104
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,1.380,1.244,1.244,934
LIST,SELECT,LIST:SELECT:section_P4 Trafik,1.199,713,713,469
FEEDBACK,SELECT,FEEDBACK:SELECT:phonelink:80202060,1.189,961,961,787
WEBCAM,FOLLOW,(not set),1.096,485,485,404
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,1.087,949,949,706
MAP,SELECT,MAP:SELECT:Trafikmeldinger,926,564,564,187
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_OFF,859,828,828,802
LIST,SELECT,LIST:SELECT:section_Pladser,827,554,554,514
LIST,SELECT,LIST:SELECT:section_Bro,793,480,480,437
LIST,SELECT,LIST:SELECT:itemtype_TrafficContent,774,526,526,412
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk/DA/trafik/Prognoseforhelligdagene/Sider/default.aspx,672,642,642,606
LIST,SELECT,LIST:SELECT:itemtype_RoadworkContent,576,389,389,352
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,409,381,381,359
LIST,SELECT,LIST:SELECT:section_Tunnel,407,273,273,255
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,396,371,371,356
LIST,SELECT,LIST:SELECT:section_Færger,317,232,232,212
PLACE,OPEN,PLACE:OPEN:samkoersel,302,190,190,169
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,255,232,232,219
PLACE,OPEN,PLACE:OPEN:rasteplads,215,116,116,103
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_ON,208,197,197,182
LIST,SELECT,LIST:SELECT:itemtype_TunnelContent,184,56,56,56
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventB,176,123,123,108
LIST,SELECT,LIST:SELECT:itemtype_PlaceContent,176,119,119,113
LIST,SELECT,LIST:SELECT:itemtype_BridgeContent,169,143,143,135
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:FEEDBACK,108,100,100,97
PLACE,OPEN,PLACE:OPEN:parking,94,35,35,27
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:vintertrafik://launch,93,85,85,80
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,60,40,40,28
EVENT,OPEN,EVENT:OPEN:fullscreen:ferry,52,36,36,33
LIST,SELECT,LIST:SELECT:itemtype_FerryContent,52,36,36,33
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:PROJECTS,48,33,33,27
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventB,39,32,32,31
SUBSCRIPTIONS_OVERVIEW,OPEN,SUBSCRIPTIONS_OVERVIEW:OPEN:ROUTE_AREA,31,5,5,4
MAP,SELECT,MAP:SELECT:Vejarbejder,30,21,21,18
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SUBSCRIPTIONS_OVERVIEW,20,9,9,5
LIST,SELECT,LIST:SELECT:section:Vejarbejder,17,15,15,11
LIST,SELECT,LIST:SELECT:section:Webkamera,17,10,10,9
MAP,SELECT,MAP:SELECT:Listevisning,13,9,9,9
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:NOTIFICATION_UNMUTE,13,4,4,3
ERROR,ERROR,ERROR:ERROR:Push check - invalid local subscription found. Area ID is nil!,12,12,12,10
PROJECT,SELECT,PROJECT:SELECT:OM PROJEKTET:4,12,6,6,2
PROJECT,SELECT,PROJECT:SELECT:SERVICEBESKEDER:4,12,6,6,2
PROJECT,SELECT,PROJECT:SELECT:TRAFIKINFO:4,12,6,6,2
PROJECT,OPEN,PROJECT:OPEN:4,11,6,6,2
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:NOTIFICATION_MUTE,11,4,4,3
PROJECT,SELECT,PROJECT:SELECT:OM PROJEKTET:3,10,4,4,3
PROJECT,SELECT,PROJECT:SELECT:OM PROJEKTET:52,10,4,4,4
PROJECT,SELECT,PROJECT:SELECT:SERVICEBESKEDER:3,10,4,4,3
PROJECT,SELECT,PROJECT:SELECT:SERVICEBESKEDER:52,10,4,4,4
PROJECT,SELECT,PROJECT:SELECT:TRAFIKINFO:3,10,4,4,3
PROJECT,SELECT,PROJECT:SELECT:TRAFIKINFO:52,10,4,4,4
LIST,SELECT,LIST:SELECT:section:Pladser,9,5,5,4
PROJECT,OPEN,PROJECT:OPEN:3,9,4,4,3
SUBSCRIPTIONS_OVERVIEW,OPEN,SUBSCRIPTIONS_OVERVIEW:OPEN:PROJECT,9,5,5,4
LIST,SELECT,LIST:SELECT:section:P4 Trafik,7,7,7,5
PROJECT,OPEN,PROJECT:OPEN:52,7,4,4,4
PROJECT,OPEN,PROJECT:OPEN:PROJECTSETTINGS_52,6,4,4,4
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_DELETE,6,3,3,3
PROJECT,FOLLOW,PROJECT:FOLLOW:49,5,5,5,5
PROJECT,UNFOLLOW,PROJECT:UNFOLLOW:52,5,5,5,5
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_AREA,5,3,3,3
GEOFENCE,ENTER,GEOFENCE:ENTER:8,4,4,4,4
LIST,SELECT,LIST:SELECT:section:Rejsetider,4,2,2,2
MAP,SELECT,MAP:SELECT:Meldinger,4,2,2,2
PROJECT,OPEN,PROJECT:OPEN:2,4,3,3,3
PROJECT,SELECT,PROJECT:SELECT:OM PROJEKTET:2,4,3,3,3
PROJECT,SELECT,PROJECT:SELECT:SERVICEBESKEDER:2,4,3,3,3
PROJECT,SELECT,PROJECT:SELECT:TRAFIKINFO:2,4,3,3,3
PROJECT,UNFOLLOW,PROJECT:UNFOLLOW:49,4,4,4,4
SUBSCRIPTIONS_OVERVIEW,OPEN,SUBSCRIPTIONS_OVERVIEW:OPEN:ROADWORK,4,2,2,2
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_EDIT,4,2,2,2
LIST,SELECT,LIST:SELECT:section:Færger,3,2,2,2
PROJECT,FOLLOW,PROJECT:FOLLOW:3,3,3,3,3
PROJECT,FOLLOW,PROJECT:FOLLOW:4,3,2,2,2
PROJECT,OPEN,PROJECT:OPEN:49,3,1,1,1
PROJECT,SELECT,PROJECT:SELECT:OM PROJEKTET:49,3,1,1,1
PROJECT,SELECT,PROJECT:SELECT:SERVICEBESKEDER:49,3,1,1,1
PROJECT,SELECT,PROJECT:SELECT:TRAFIKINFO:49,3,1,1,1
SUBSCRIPTIONS_OVERVIEW,OPEN,SUBSCRIPTIONS_OVERVIEW:OPEN:TRAFFIC,3,1,1,1
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_TIME_LIMIT,3,2,2,2
GEOFENCE,ENTER,GEOFENCE:ENTER:10,2,2,2,1
LIST,SELECT,LIST:SELECT:section:Tunnel,2,2,2,2
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk/DA/trafik/paasketrafikken/Sider/default.aspx,2,2,2,2
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SENDPOSITION_OFF,2,1,1,1
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SENDPOSITION_ON,2,1,1,1
PROJECT,FOLLOW,PROJECT:FOLLOW:2,2,2,2,2
PROJECT,FOLLOW,PROJECT:FOLLOW:29,2,2,2,2
PROJECT,FOLLOW,PROJECT:FOLLOW:52,2,2,2,2
PROJECT,UNFOLLOW,PROJECT:UNFOLLOW:2,2,2,2,2
PROJECT,UNFOLLOW,PROJECT:UNFOLLOW:29,2,2,2,2
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_ROUTE,2,2,2,2
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_CATEGORIES_CHANGE,2,1,1,1
LIST,SELECT,LIST:SELECT:section_Rejsetider,1,1,1,1
LIST,SELECT,LIST:SELECT:section:Bro,1,1,1,1
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk/DA/trafik/Vinterferien/Sider/default.aspx?utm_source=Trafikinfo_app&utm_medium=app&utm_content=&utm_campaign=Vinterferie,1,1,1,1
PROJECT,FOLLOW,PROJECT:FOLLOW:53,1,1,1,1
PROJECT,OPEN,PROJECT:OPEN:32,1,1,1,1
PROJECT,OPEN,PROJECT:OPEN:PROJECTSETTINGS_4,1,1,1,1
PROJECT,SELECT,PROJECT:SELECT:OM PROJEKTET:32,1,1,1,1
PROJECT,SELECT,PROJECT:SELECT:SERVICEBESKEDER:32,1,1,1,1
PROJECT,SELECT,PROJECT:SELECT:TRAFIKINFO:32,1,1,1,1
PROJECT,UNFOLLOW,PROJECT:UNFOLLOW:4,1,1,1,1
