# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20180701-20180731
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
MAP,SELECT,MAP:SELECT:Trafikinfo,5.104,2.873,2.873,936
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,1.597,834,834,401
EVENT,OPEN,EVENT:OPEN:fullscreen:webcam,983,215,215,112
NAVIGATIONMENU,OPEN,(not set),686,401,401,311
MAP,SELECT,MAP:SELECT:Vejarbejde,633,381,381,255
MAP,SELECT,MAP:SELECT:Webkamera,549,352,352,190
WEBCAM,OPEN,(not set),486,104,104,53
EVENT,SELECT,EVENT:SELECT:CENTERPOSITION_ICON,388,324,324,174
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,323,117,117,90
LIST,OPEN,(not set),321,227,227,167
LIST,SELECT,LIST:SELECT:section_Trafikmeldinger,248,183,183,119
EVENT,OPEN,EVENT:OPEN:fullscreen,175,140,140,105
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,168,120,120,88
LIST,SELECT,LIST:SELECT:itemtype_WebcamContent,160,59,59,38
SUBSCRIPTIONS_OVERVIEW,OPEN,SUBSCRIPTIONS_OVERVIEW:OPEN:ROUTE_AREA,133,47,47,39
MAP,SELECT,MAP:SELECT:Temperatur,124,84,84,74
LIST,SELECT,LIST:SELECT:section_Vejarbejder,122,92,92,80
LIST,SELECT,LIST:SELECT:itemtype_P4EventContent,117,55,55,51
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SUBSCRIPTIONS_OVERVIEW,117,74,74,63
LIST,SELECT,LIST:SELECT:section_Webkamera,102,84,84,59
LIST,SELECT,LIST:SELECT:section_Bus - Hovedstaden,100,60,60,53
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_ROUTE,100,95,95,93
LIST,SELECT,LIST:SELECT:section_S-Tog - Hovedstaden,99,63,63,60
MAP,SELECT,MAP:SELECT:Cykel/saltning,94,53,53,49
WEBCAM,FOLLOW,(not set),79,8,8,4
LIST,SELECT,LIST:SELECT:section_Tog - Hovedstaden,77,57,57,46
LIST,SELECT,LIST:SELECT:section_Metro - Hovedstaden,73,48,48,44
MAP,SELECT,MAP:SELECT:P4 Trafik,72,53,53,40
LIST,SELECT,LIST:SELECT:section_Rejsetider,70,53,53,50
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk/DA/trafik/sommertrafikken/Sider/Default.aspx,70,69,69,66
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,62,50,50,43
LIST,SELECT,LIST:SELECT:section_P4 Trafik,54,39,39,31
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,51,46,46,39
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_TIME_LIMIT,44,22,22,20
EVENT,OPEN,EVENT:OPEN:fullscreen:bus,41,16,16,12
EVENT,OPEN,EVENT:OPEN:fullscreen:s-train,41,22,22,21
LIST,SELECT,LIST:SELECT:itemtype_BusContent,41,16,16,12
LIST,SELECT,LIST:SELECT:itemtype_STrainContent,41,22,22,21
LIST,SELECT,LIST:SELECT:section_Temperatur og Vind,41,31,31,29
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,40,33,33,26
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,35,31,31,30
LIST,SELECT,LIST:SELECT:itemtype_RoadworkContent,33,23,23,21
LIST,SELECT,LIST:SELECT:section_Twitter,30,23,23,20
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,29,27,27,27
EVENT,OPEN,EVENT:OPEN:fullscreen:metro,25,22,22,22
LIST,SELECT,LIST:SELECT:itemtype_MetroContent,25,22,22,22
LIST,SELECT,LIST:SELECT:itemtype_TrafficContent,22,18,18,13
LIST,SELECT,LIST:SELECT:itemtype_TrainContent,22,16,16,13
MAP,SELECT,MAP:SELECT:Listevisning,21,14,14,13
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_CATEGORIES_CHANGE,19,8,8,8
EVENT,OPEN,EVENT:OPEN:fullscreen:train,18,16,16,13
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_DELETE,18,12,12,12
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:NOTIFICATION_MUTE,17,8,8,8
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_EDIT,16,12,12,11
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventB,14,10,10,10
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:NOTIFICATION_UNMUTE,14,10,10,10
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_AREA,13,9,9,7
EVENT,OPEN,EVENT:OPEN:fullscreen:trim,12,12,12,12
LIST,SELECT,LIST:SELECT:itemtype_TrimContent,12,12,12,12
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:ibikecph://trafikkenhovedstaden,11,11,11,11
LIST,SELECT,LIST:SELECT:section_Lokaltog - Hovedstaden,10,9,9,9
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,8,8,8,8
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:FEEDBACK,8,8,8,8
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:vintertrafik://launch,7,6,6,6
LIST,SELECT,LIST:SELECT:itemtype_TwitterContent,5,4,4,4
MAP,SELECT,MAP:SELECT:Trafikmeldinger,3,3,3,3
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventB,2,2,2,2
LIST,SELECT,LIST:SELECT:itemtype_WindTemperatureContent,2,2,2,1
GEOFENCE,ENTER,GEOFENCE:ENTER:10,1,1,1,1
GEOFENCE,LEAVE,GEOFENCE:LEAVE:10,1,1,1,1
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,1,1,1,1
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,1,1,1,1
