# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20180901-20180930
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
MAP,SELECT,MAP:SELECT:Trafikinfo,10.739,5.414,5.414,1.104
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,3.067,1.637,1.637,559
EVENT,OPEN,EVENT:OPEN:fullscreen:webcam,1.646,370,370,197
MAP,SELECT,MAP:SELECT:Webkamera,843,475,475,271
NAVIGATIONMENU,OPEN,(not set),834,521,521,350
EVENT,SELECT,EVENT:SELECT:CENTERPOSITION_ICON,609,489,489,223
MAP,SELECT,MAP:SELECT:Vejarbejde,602,427,427,261
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,457,377,377,193
EVENT,OPEN,EVENT:OPEN:fullscreen,368,281,281,171
LIST,SELECT,LIST:SELECT:section_Trafikmeldinger,339,251,251,131
LIST,OPEN,(not set),289,233,233,159
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,247,112,112,85
MAP,SELECT,MAP:SELECT:P4 Trafik,209,156,156,98
LIST,SELECT,LIST:SELECT:itemtype_P4EventContent,199,115,115,90
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SUBSCRIPTIONS_OVERVIEW,157,129,129,92
LIST,SELECT,LIST:SELECT:section_S-Tog - Hovedstaden,153,79,79,60
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,139,121,121,96
LIST,SELECT,LIST:SELECT:itemtype_WebcamContent,133,42,42,28
SUBSCRIPTIONS_OVERVIEW,OPEN,SUBSCRIPTIONS_OVERVIEW:OPEN:ROUTE_AREA,126,69,69,49
LIST,SELECT,LIST:SELECT:section_Vejarbejder,120,85,85,67
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,115,92,92,57
MAP,SELECT,MAP:SELECT:Temperatur,110,71,71,62
LIST,SELECT,LIST:SELECT:section_Webkamera,105,67,67,54
LIST,SELECT,LIST:SELECT:section_Bus - Hovedstaden,102,59,59,47
LIST,SELECT,LIST:SELECT:section_Tog - Hovedstaden,93,60,60,39
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,90,67,67,38
MAP,SELECT,MAP:SELECT:Cykel/saltning,83,46,46,45
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_ROUTE,80,74,74,70
LIST,SELECT,LIST:SELECT:section_Metro - Hovedstaden,78,53,53,45
LIST,SELECT,LIST:SELECT:section_Rejsetider,77,52,52,48
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_TIME_LIMIT,59,34,34,28
EVENT,OPEN,EVENT:OPEN:fullscreen:bus,54,13,13,12
LIST,SELECT,LIST:SELECT:itemtype_BusContent,54,13,13,12
LIST,SELECT,LIST:SELECT:itemtype_TrafficContent,46,35,35,19
LIST,SELECT,LIST:SELECT:section_P4 Trafik,46,31,31,28
EVENT,OPEN,EVENT:OPEN:fullscreen:s-train,41,24,24,22
LIST,SELECT,LIST:SELECT:itemtype_STrainContent,41,24,24,22
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,37,36,36,34
LIST,SELECT,LIST:SELECT:itemtype_RoadworkContent,36,16,16,16
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:NOTIFICATION_MUTE,30,23,23,22
EVENT,OPEN,EVENT:OPEN:fullscreen:metro,27,20,20,19
LIST,SELECT,LIST:SELECT:itemtype_MetroContent,27,20,20,19
LIST,SELECT,LIST:SELECT:section_Temperatur og Vind,27,16,16,16
EVENT,OPEN,EVENT:OPEN:fullscreen:trim,25,13,13,12
LIST,SELECT,LIST:SELECT:itemtype_TrimContent,25,13,13,12
LIST,SELECT,LIST:SELECT:section_Twitter,25,20,20,17
EVENT,OPEN,EVENT:OPEN:fullscreen:train,23,14,14,10
LIST,SELECT,LIST:SELECT:itemtype_TrainContent,23,14,14,10
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,22,22,22,22
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,21,17,17,16
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_EDIT,21,14,14,13
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventB,19,15,15,14
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:NOTIFICATION_UNMUTE,18,13,13,12
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_CATEGORIES_CHANGE,18,12,12,9
LIST,SELECT,LIST:SELECT:section_Lokaltog - Hovedstaden,17,4,4,4
MAP,SELECT,MAP:SELECT:Trafikmeldinger,17,6,6,5
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_AREA,17,17,17,15
WEBCAM,OPEN,(not set),15,7,7,4
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:FEEDBACK,14,12,12,11
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:ibikecph://trafikkenhovedstaden,11,11,11,10
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:vintertrafik://launch,10,10,10,9
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_DELETE,10,9,9,9
EVENT,OPEN,EVENT:OPEN:fullscreen:vd.geo.bicyclepath,4,1,1,1
LIST,SELECT,LIST:SELECT:section:Webkamera,4,1,1,1
GEOFENCE,ENTER,GEOFENCE:ENTER:10,3,3,3,3
WEBCAM,FOLLOW,(not set),3,1,1,1
FEEDBACK,SELECT,FEEDBACK:SELECT:phonelink:80202060,2,1,1,1
GEOFENCE,LEAVE,GEOFENCE:LEAVE:10,2,2,2,2
LIST,SELECT,LIST:SELECT:section:P4 Trafik,2,1,1,1
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk/DA/trafik/sommertrafikken/Sider/Default.aspx,2,2,2,2
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventB,1,1,1,1
LIST,SELECT,LIST:SELECT:section:Temperatur og Vind,1,1,1,1
LIST,SELECT,LIST:SELECT:section:Vejarbejder,1,1,1,1
MAP,SELECT,MAP:SELECT:Vejarbejder,1,1,1,1
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk/DA/trafik/efter%C3%A5rsferiens-trafik/Sider/Default.aspx,1,1,1,1
