# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20181001-20181031
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
MAP,SELECT,MAP:SELECT:Trafikinfo,288.431,156.161,156.161,37.551
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,119.490,60.816,60.816,22.072
EVENT,OPEN,EVENT:OPEN:fullscreen:webcam,41.289,10.947,10.947,5.506
MAP,SELECT,MAP:SELECT:Webkamera,23.715,13.958,13.958,7.315
EVENT,SELECT,EVENT:SELECT:CENTERPOSITION_ICON,23.058,17.584,17.584,8.480
NAVIGATIONMENU,OPEN,(not set),20.861,12.622,12.622,8.533
MAP,SELECT,MAP:SELECT:Vejarbejde,16.314,11.324,11.324,7.659
FEEDBACK,SELECT,FEEDBACK:SELECT:phonelink:80202060,12.497,10.650,10.650,8.692
EVENT,OPEN,EVENT:OPEN:fullscreen,9.101,7.427,7.427,4.814
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,9.100,3.493,3.493,2.405
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,8.916,6.818,6.818,4.167
LIST,SELECT,LIST:SELECT:section_Trafikmeldinger,8.128,5.601,5.601,3.458
LIST,OPEN,(not set),8.101,6.364,6.364,4.409
LIST,SELECT,LIST:SELECT:itemtype_P4EventContent,8.010,3.171,3.171,2.326
MAP,SELECT,MAP:SELECT:Pladser,5.517,3.619,3.619,3.071
GEOFENCE,ENTER,GEOFENCE:ENTER:10,4.828,4.277,4.277,1.934
MAP,SELECT,MAP:SELECT:P4 Trafik,4.715,3.271,3.271,2.135
EVENT,START,(not set),4.502,2.666,2.666,2.377
LIST,SELECT,LIST:SELECT:section_Vejarbejder,4.389,3.027,3.027,2.418
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,3.798,3.232,3.232,2.741
ACCEPTANCE,DENY,ACCEPTANCE:DENY:LocationAlways - Has been asked,3.534,3.494,3.494,3.490
LIST,SELECT,LIST:SELECT:itemtype_WebcamContent,3.455,1.092,1.092,839
GEOFENCE,LEAVE,GEOFENCE:LEAVE:10,3.152,2.685,2.685,1.312
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,3.044,2.585,2.585,1.880
LIST,SELECT,LIST:SELECT:section_Webkamera,2.782,1.790,1.790,1.425
ACCEPTANCE,ACCEPT,ACCEPTANCE:ACCEPT:LocationAlways,2.649,2.633,2.633,2.615
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SUBSCRIPTIONS_OVERVIEW,2.558,2.112,2.112,1.507
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,2.379,2.007,2.007,1.413
SUBSCRIPTIONS_OVERVIEW,OPEN,SUBSCRIPTIONS_OVERVIEW:OPEN:ROUTE_AREA,2.287,1.177,1.177,847
ACCEPTANCE,ACCEPT,ACCEPTANCE:ACCEPT:LocationAlways - Has been asked,1.524,1.505,1.505,1.505
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_ROUTE,1.510,1.362,1.362,1.268
LIST,SELECT,LIST:SELECT:section_P4 Trafik,1.497,867,867,597
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,1.462,1.312,1.312,994
GEOFENCE,ENTER,GEOFENCE:ENTER:7,1.367,1.147,1.147,561
EVENT,OPEN,EVENT:OPEN:fullscreen:ferry,1.333,1.047,1.047,922
GEOFENCE,LEAVE,GEOFENCE:LEAVE:7,1.278,1.099,1.099,525
GEOFENCE,LEAVE,GEOFENCE:LEAVE:26,1.258,1.020,1.020,484
GEOFENCE,ENTER,GEOFENCE:ENTER:26,1.204,1.066,1.066,515
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,1.148,1.015,1.015,758
GEOFENCE,ENTER,GEOFENCE:ENTER:27,1.120,1.000,1.000,482
LIST,SELECT,LIST:SELECT:itemtype_TrafficContent,1.101,658,658,463
GEOFENCE,LEAVE,GEOFENCE:LEAVE:27,1.099,981,981,471
WEBCAM,OPEN,(not set),1.082,260,260,114
GEOFENCE,ENTER,GEOFENCE:ENTER:6,1.079,986,986,471
LIST,SELECT,LIST:SELECT:itemtype_RoadworkContent,1.076,551,551,460
GEOFENCE,LEAVE,GEOFENCE:LEAVE:6,1.017,924,924,441
GEOFENCE,ENTER,GEOFENCE:ENTER:28,996,912,912,442
GEOFENCE,LEAVE,GEOFENCE:LEAVE:28,994,902,902,437
GEOFENCE,ENTER,GEOFENCE:ENTER:25,978,888,888,415
GEOFENCE,LEAVE,GEOFENCE:LEAVE:25,966,872,872,406
LIST,SELECT,LIST:SELECT:section_Bro,939,488,488,456
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_TIME_LIMIT,878,563,563,455
LIST,SELECT,LIST:SELECT:section_Pladser,860,581,581,554
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_OFF,857,810,810,770
