# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20181201-20181231
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
MAP,SELECT,MAP:SELECT:Trafikinfo,8.484,4.415,4.415,1.079
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,2.087,1.173,1.173,456
EVENT,OPEN,EVENT:OPEN:fullscreen:webcam,1.176,326,326,169
MAP,SELECT,MAP:SELECT:Webkamera,555,376,376,235
NAVIGATIONMENU,OPEN,(not set),539,348,348,243
MAP,SELECT,MAP:SELECT:Vejarbejde,490,326,326,233
EVENT,SELECT,EVENT:SELECT:CENTERPOSITION_ICON,442,369,369,196
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,324,265,265,142
LIST,OPEN,(not set),263,199,199,134
EVENT,OPEN,EVENT:OPEN:fullscreen,241,192,192,130
LIST,SELECT,LIST:SELECT:section_Trafikmeldinger,203,153,153,100
LIST,SELECT,LIST:SELECT:itemtype_WebcamContent,191,71,71,34
MAP,SELECT,MAP:SELECT:Temperatur,163,126,126,69
LIST,SELECT,LIST:SELECT:itemtype_P4EventContent,162,69,69,61
MAP,SELECT,MAP:SELECT:Cykel/saltning,148,90,90,58
LIST,SELECT,LIST:SELECT:section_Webkamera,141,88,88,51
MAP,SELECT,MAP:SELECT:P4 Trafik,122,86,86,55
LIST,SELECT,LIST:SELECT:section_S-Tog - Hovedstaden,120,35,35,31
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,118,60,60,53
LIST,SELECT,LIST:SELECT:section_Bus - Hovedstaden,93,55,55,52
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,87,74,74,59
LIST,SELECT,LIST:SELECT:section_Tog - Hovedstaden,87,51,51,36
LIST,SELECT,LIST:SELECT:section_Vejarbejder,85,58,58,53
LIST,SELECT,LIST:SELECT:section_Rejsetider,80,47,47,44
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SUBSCRIPTIONS_OVERVIEW,77,64,64,53
LIST,SELECT,LIST:SELECT:section_Temperatur og Vind,68,46,46,27
LIST,SELECT,LIST:SELECT:section_Metro - Hovedstaden,66,43,43,40
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,64,50,50,37
LIST,SELECT,LIST:SELECT:section_P4 Trafik,50,31,31,25
SUBSCRIPTIONS_OVERVIEW,OPEN,SUBSCRIPTIONS_OVERVIEW:OPEN:ROUTE_AREA,50,28,28,24
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,39,33,33,21
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_ROUTE,35,32,32,30
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://vejdirektoratet.dk/DA/trafik/juletrafikken/Sider/Default.aspx,33,31,31,31
LIST,SELECT,LIST:SELECT:section_Twitter,32,28,28,22
EVENT,OPEN,EVENT:OPEN:fullscreen:vd.geo.bicyclepath,31,11,11,9
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,26,25,25,24
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,25,21,21,19
EVENT,OPEN,EVENT:OPEN:fullscreen:metro,24,20,20,19
LIST,SELECT,LIST:SELECT:itemtype_MetroContent,24,20,20,19
EVENT,OPEN,EVENT:OPEN:fullscreen:bus,19,11,11,11
LIST,SELECT,LIST:SELECT:itemtype_BusContent,19,11,11,11
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_TIME_LIMIT,19,14,14,13
LIST,SELECT,LIST:SELECT:itemtype_RoadworkContent,16,10,10,7
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_CATEGORIES_CHANGE,15,5,5,5
LIST,SELECT,LIST:SELECT:itemtype_TrafficContent,13,9,9,6
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:vintertrafik://launch,13,12,12,12
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:FEEDBACK,13,7,7,7
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:ibikecph://trafikkenhovedstaden,12,12,12,10
LIST,SELECT,LIST:SELECT:itemtype_TwitterContent,10,5,5,4
EVENT,OPEN,EVENT:OPEN:fullscreen:train,9,7,7,7
LIST,SELECT,LIST:SELECT:itemtype_TrainContent,9,7,7,7
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_AREA,9,6,6,6
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,8,7,7,7
GEOFENCE,ENTER,GEOFENCE:ENTER:10,8,8,8,8
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_DELETE,8,7,7,7
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventB,7,7,7,7
EVENT,OPEN,EVENT:OPEN:fullscreen:trim,7,7,7,6
LIST,SELECT,LIST:SELECT:itemtype_TrimContent,7,7,7,6
LIST,SELECT,LIST:SELECT:itemtype_WindTemperatureContent,7,3,3,2
MAP,SELECT,MAP:SELECT:Trafikmeldinger,7,3,3,3
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:NOTIFICATION_UNMUTE,5,4,4,4
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_EDIT,5,4,4,4
GEOFENCE,LEAVE,GEOFENCE:LEAVE:10,4,4,4,4
LIST,SELECT,LIST:SELECT:section_Lokaltog - Hovedstaden,4,4,4,4
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:NOTIFICATION_MUTE,4,4,4,4
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventB,2,2,2,2
GEOFENCE,ENTER,GEOFENCE:ENTER:27,2,2,2,2
GEOFENCE,LEAVE,GEOFENCE:LEAVE:27,2,2,2,2
LIST,SELECT,LIST:SELECT:section:S-tog - Hovedstaden,2,1,1,1
MAP,SELECT,MAP:SELECT:Listevisning,2,2,2,1
WEBCAM,OPEN,(not set),2,2,2,1
GEOFENCE,ENTER,GEOFENCE:ENTER:28,1,1,1,1
GEOFENCE,LEAVE,GEOFENCE:LEAVE:28,1,1,1,1
LIST,SELECT,LIST:SELECT:section:Tog - Hovedstaden,1,1,1,1
SUBSCRIPTIONS_OVERVIEW,OPEN,SUBSCRIPTIONS_OVERVIEW:OPEN:TRAFFIC,1,1,1,1
