# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20170401-20170430
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
MAP,SELECT,MAP:SELECT:Trafikmeldinger,170.971,99.238,99.238,30.056
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,67.689,35.705,35.705,14.655
WEBCAM,OPEN,(not set),31.194,8.611,8.611,4.253
NAVIGATIONMENU,OPEN,(not set),23.810,13.853,13.853,9.600
EVENT,SELECT,EVENT:SELECT:CENTERPOSITION_ICON,16.178,9.782,9.782,5.381
LIST,OPEN,(not set),15.584,12.481,12.481,7.359
MAP,SELECT,MAP:SELECT:Webkamera,14.237,8.545,8.545,4.670
MAP,SELECT,MAP:SELECT:Vejarbejder,12.610,8.142,8.142,5.656
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,11.148,8.105,8.105,5.083
MAP,SELECT,MAP:SELECT:Pladser,6.184,4.114,4.114,3.216
LIST,SELECT,LIST:SELECT:section:Vejarbejder,5.765,4.260,4.260,3.553
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,5.587,2.765,2.765,2.180
LIST,SELECT,LIST:SELECT:section:Webkamera,4.409,2.951,2.951,2.336
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,4.285,3.547,3.547,2.897
EVENT,OPEN,EVENT:OPEN:fullscreen,4.048,3.408,3.408,2.977
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,3.938,2.933,2.933,2.362
LIST,SELECT,LIST:SELECT:section:P4 Trafik,3.886,2.358,2.358,1.591
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,2.670,2.096,2.096,1.650
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,2.623,2.340,2.340,1.995
EVENT,START,(not set),2.405,1.367,1.367,1.185
LIST,SELECT,LIST:SELECT:section:Pladser,2.264,1.500,1.500,1.379
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_ON,2.092,1.935,1.935,1.852
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,1.797,1.568,1.568,1.343
LIST,SELECT,LIST:SELECT:section:Bro,1.740,980,980,815
LIST,SELECT,LIST:SELECT:section:Rejsetider,1.445,1.035,1.035,876
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,1.422,1.259,1.259,1.092
WEBCAM,FOLLOW,(not set),1.360,499,499,408
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk/DA/trafik/p%C3%A5sketrafikken-2017/Sider/Default.aspx?utm_source=TrafikinfoApp&utm_medium=link&utm_content=&utm_campaign=paasketrafik17,1.146,1.092,1.092,987
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,1.033,928,928,868
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,789,708,708,666
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_OFF,772,705,705,655
LIST,SELECT,LIST:SELECT:section:Tunnel,694,565,565,540
EVENT,OPEN,EVENT:OPEN:fullscreen:ferry,627,534,534,439
LIST,SELECT,LIST:SELECT:section:Færger,589,442,442,396
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,311,282,282,259
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:vintertrafik://launch,263,238,238,231
FEEDBACK,SELECT,FEEDBACK:SELECT:phonelink:80202060,255,218,218,165
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:FEEDBACK,211,198,198,190
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventB,209,166,166,159
LIST,SELECT,LIST:SELECT:subsection:rejsetider,192,142,142,122
EVENT,OPEN,EVENT:OPEN:fullscreen:trim,190,142,142,122
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventB,37,34,34,32
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SENDPOSITION_ON,21,20,20,19
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SENDPOSITION_OFF,14,14,14,13
LIST,SELECT,LIST:SELECT:section:Bro og Tunnel,5,4,4,4
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk,4,3,3,3
