# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20170801-20170831
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
MAP,SELECT,MAP:SELECT:Trafikinfo,108.063,58.124,58.124,21.147
MAP,SELECT,MAP:SELECT:Trafikmeldinger,101.371,57.873,57.873,21.253
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,83.700,41.891,41.891,17.595
WEBCAM,OPEN,(not set),34.548,9.577,9.577,4.677
NAVIGATIONMENU,OPEN,(not set),22.019,13.670,13.670,9.388
MAP,SELECT,MAP:SELECT:Webkamera,15.831,9.767,9.767,5.497
EVENT,SELECT,EVENT:SELECT:CENTERPOSITION_ICON,15.827,9.463,9.463,4.931
LIST,OPEN,(not set),12.484,9.536,9.536,5.990
MAP,SELECT,MAP:SELECT:Vejarbejde,9.884,6.639,6.639,4.957
EVENT,OPEN,EVENT:OPEN:fullscreen,7.400,6.261,6.261,5.163
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,6.612,3.055,3.055,2.421
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,6.039,4.345,4.345,2.918
MAP,SELECT,MAP:SELECT:Vejarbejder,6.030,3.929,3.929,2.953
MAP,SELECT,MAP:SELECT:Pladser,5.468,3.611,3.611,3.078
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,5.273,3.957,3.957,3.211
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,3.519,2.889,2.889,2.291
LIST,SELECT,LIST:SELECT:itemtype_P4EventContent,3.189,1.184,1.184,926
LIST,SELECT,LIST:SELECT:section_Trafikmeldinger,3.160,2.308,2.308,1.604
EVENT,START,(not set),2.615,1.521,1.521,1.359
LIST,SELECT,LIST:SELECT:section:Vejarbejder,2.486,1.902,1.902,1.705
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,2.321,1.827,1.827,1.398
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,2.174,1.902,1.902,1.550
LIST,SELECT,LIST:SELECT:itemtype_WebcamContent,2.046,762,762,582
LIST,SELECT,LIST:SELECT:section_Vejarbejder,1.918,1.402,1.402,1.213
LIST,SELECT,LIST:SELECT:section_Webkamera,1.884,1.216,1.216,965
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,1.849,1.532,1.532,1.339
LIST,SELECT,LIST:SELECT:section:Webkamera,1.789,1.205,1.205,1.019
LIST,SELECT,LIST:SELECT:section:P4 Trafik,1.490,1.084,1.084,772
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,1.482,1.250,1.250,1.015
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_OFF,1.417,1.297,1.297,1.249
WEBCAM,FOLLOW,(not set),1.077,461,461,377
EVENT,OPEN,EVENT:OPEN:fullscreen:ferry,986,823,823,709
LIST,SELECT,LIST:SELECT:section:Pladser,907,581,581,552
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,725,663,663,631
MAP,SELECT,MAP:SELECT:Meldinger,723,549,549,430
LIST,SELECT,LIST:SELECT:section:Bro,685,454,454,420
LIST,SELECT,LIST:SELECT:section_Bro,566,337,337,275
LIST,SELECT,LIST:SELECT:section_P4 Trafik,551,286,286,159
