# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20180801-20180831
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Brugere
MAP,SELECT,MAP:SELECT:Trafikinfo,8.927,4.768,1.034
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,3.106,1.574,581
EVENT,OPEN,EVENT:OPEN:fullscreen:webcam,1.477,393,177
NAVIGATIONMENU,OPEN,(not set),868,494,343
MAP,SELECT,MAP:SELECT:Webkamera,797,500,245
MAP,SELECT,MAP:SELECT:Vejarbejde,600,438,283
EVENT,SELECT,EVENT:SELECT:CENTERPOSITION_ICON,587,480,227
LIST,SELECT,LIST:SELECT:section_Trafikmeldinger,431,290,144
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,427,335,167
LIST,OPEN,(not set),351,249,163
EVENT,OPEN,EVENT:OPEN:fullscreen,347,276,174
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,237,109,84
LIST,SELECT,LIST:SELECT:itemtype_P4EventContent,165,100,79
MAP,SELECT,MAP:SELECT:P4 Trafik,165,123,71
SUBSCRIPTIONS_OVERVIEW,OPEN,SUBSCRIPTIONS_OVERVIEW:OPEN:ROUTE_AREA,155,70,46
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SUBSCRIPTIONS_OVERVIEW,153,119,85
LIST,SELECT,LIST:SELECT:itemtype_WebcamContent,142,57,34
LIST,SELECT,LIST:SELECT:section_Webkamera,135,85,57
MAP,SELECT,MAP:SELECT:Temperatur,133,85,76
LIST,SELECT,LIST:SELECT:itemtype_TrafficContent,127,63,35
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_ROUTE,124,114,113
LIST,SELECT,LIST:SELECT:section_Vejarbejder,118,77,66
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,114,92,74
LIST,SELECT,LIST:SELECT:section_S-Tog - Hovedstaden,107,61,48
LIST,SELECT,LIST:SELECT:section_Rejsetider,99,65,59
LIST,SELECT,LIST:SELECT:section_Tog - Hovedstaden,98,60,44
LIST,SELECT,LIST:SELECT:section_Bus - Hovedstaden,87,57,50
MAP,SELECT,MAP:SELECT:Cykel/saltning,84,56,53
LIST,SELECT,LIST:SELECT:section_P4 Trafik,79,50,37
WEBCAM,OPEN,(not set),69,15,2
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,67,60,48
LIST,SELECT,LIST:SELECT:section_Metro - Hovedstaden,65,41,34
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_TIME_LIMIT,55,32,24
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,53,43,37
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,44,38,34
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk/DA/trafik/sommertrafikken/Sider/Default.aspx,43,43,43
EVENT,OPEN,EVENT:OPEN:fullscreen:bus,37,14,13
LIST,SELECT,LIST:SELECT:itemtype_BusContent,37,14,13
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:NOTIFICATION_MUTE,35,27,21
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_EDIT,33,18,16
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_AREA,31,23,16
LIST,SELECT,LIST:SELECT:section_Twitter,30,25,25
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,29,27,24
LIST,SELECT,LIST:SELECT:section_Temperatur og Vind,28,17,17
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:NOTIFICATION_UNMUTE,24,20,15
EVENT,OPEN,EVENT:OPEN:fullscreen:train,23,18,14
LIST,SELECT,LIST:SELECT:itemtype_TrainContent,23,18,14
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_CATEGORIES_CHANGE,23,13,10
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,20,17,16
LIST,SELECT,LIST:SELECT:section_Lokaltog - Hovedstaden,20,11,11
LIST,SELECT,LIST:SELECT:itemtype_RoadworkContent,19,14,12
EVENT,OPEN,EVENT:OPEN:fullscreen:metro,18,17,17
LIST,SELECT,LIST:SELECT:itemtype_MetroContent,18,17,17
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ROUTE_AREA_DELETE,18,14,13
EVENT,OPEN,EVENT:OPEN:fullscreen:s-train,17,11,11
LIST,SELECT,LIST:SELECT:itemtype_STrainContent,17,11,11
EVENT,OPEN,EVENT:OPEN:fullscreen:trim,15,8,8
LIST,SELECT,LIST:SELECT:itemtype_TrimContent,15,8,8
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:ibikecph://trafikkenhovedstaden,15,15,15
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:FEEDBACK,8,8,8
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventB,5,5,5
GEOFENCE,ENTER,GEOFENCE:ENTER:10,4,3,3
LIST,SELECT,LIST:SELECT:itemtype_TwitterContent,4,4,4
MAP,SELECT,MAP:SELECT:Trafikmeldinger,4,3,3
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:vintertrafik://launch,4,4,4
GEOFENCE,LEAVE,GEOFENCE:LEAVE:10,3,3,3
MAP,SELECT,MAP:SELECT:Listevisning,3,1,1
LIST,SELECT,LIST:SELECT:itemtype_WindTemperatureContent,2,1,1
SUBSCRIPTIONS_OVERVIEW,OPEN,SUBSCRIPTIONS_OVERVIEW:OPEN:TRAFFIC,1,1,1
