# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20161201-20161231
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
MAP,SELECT,MAP:SELECT:Trafikmeldinger,212.576,122.690,122.690,32.029
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,125.042,55.335,55.335,18.915
WEBCAM,OPEN,(not set),43.371,10.977,10.977,5.644
NAVIGATIONMENU,OPEN,(not set),25.097,13.968,13.968,9.848
EVENT,SELECT,EVENT:SELECT:CENTERPOSITION_ICON,21.090,12.473,12.473,6.140
MAP,SELECT,MAP:SELECT:Webkamera,19.271,11.236,11.236,6.059
LIST,OPEN,(not set),18.395,14.616,14.616,8.264
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,17.346,12.391,12.391,7.184
MAP,SELECT,MAP:SELECT:Vejarbejder,10.453,6.949,6.949,5.077
LIST,SELECT,LIST:SELECT:section:Webkamera,6.231,4.255,4.255,3.389
LIST,SELECT,LIST:SELECT:section:Vejarbejder,5.977,4.471,4.471,3.749
EVENT,OPEN,EVENT:OPEN:fullscreen,5.668,4.694,4.694,3.930
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,5.291,4.029,4.029,3.386
EVENT,START,(not set),3.408,1.965,1.965,1.705
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,3.390,1.785,1.785,1.554
EVENT,OPEN,EVENT:OPEN:fullscreen:ferry,3.354,2.554,2.554,1.954
LIST,SELECT,LIST:SELECT:section:Bro og Tunnel,3.050,1.795,1.795,1.589
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk/da/trafik/juletrafikken/sider/default.aspx?utm_source=trafikinfoApp&utm_medium=link&utm_content=&utm_campaign=juletrafik16,2.975,2.714,2.714,2.425
LIST,SELECT,LIST:SELECT:section:Rejsetider,2.717,2.053,2.053,1.760
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,2.497,2.122,2.122,1.861
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SENDPOSITION_ON,1.827,1.645,1.645,1.504
LIST,SELECT,LIST:SELECT:section:Færger,1.512,1.087,1.087,936
WEBCAM,FOLLOW,(not set),1.509,596,596,507
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,1.224,1.096,1.096,982
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,1.221,1.051,1.051,993
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SENDPOSITION_OFF,1.132,947,947,857
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,1.060,929,929,879
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,960,805,805,715
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:vintertrafik://launch,727,651,651,587
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://Www.vejdirektoratet.dk,611,545,545,495
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,464,414,414,399
LIST,SELECT,LIST:SELECT:subsection:rejsetider,454,323,323,274
EVENT,OPEN,EVENT:OPEN:fullscreen:trim,445,322,322,273
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:FEEDBACK,422,376,376,357
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventB,172,64,64,61
FEEDBACK,SELECT,FEEDBACK:SELECT:phonelink:80202060,25,14,14,7
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:inlinebrowserlink:Juleprognose:http://www.vejdirektoratet.dk/da/trafik/juletrafikken/sider/default.aspx,25,1,1,1
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventB,23,14,14,14
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk/da/trafik/juletrafikken/sider/default.aspx,7,4,4,2
