# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20180701-20180731
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
MAP,SELECT,MAP:SELECT:Trafikinfo,235.468,124.286,124.286,35.670
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,106.221,50.818,50.818,21.090
WEBCAM,OPEN,(not set),41.149,10.776,10.776,5.299
NAVIGATIONMENU,OPEN,(not set),27.721,15.884,15.884,10.829
MAP,SELECT,MAP:SELECT:Webkamera,26.530,15.786,15.786,7.821
EVENT,SELECT,EVENT:SELECT:CENTERPOSITION_ICON,18.183,13.808,13.808,8.372
EVENT,OPEN,EVENT:OPEN:fullscreen:webcam,17.766,2.824,2.824,1.749
MAP,SELECT,MAP:SELECT:Vejarbejde,16.240,10.993,10.993,8.069
FEEDBACK,SELECT,FEEDBACK:SELECT:phonelink:80202060,11.239,9.531,9.531,7.633
EVENT,OPEN,EVENT:OPEN:fullscreen,9.860,7.889,7.889,5.110
LIST,OPEN,(not set),9.477,7.347,7.347,5.312
LIST,SELECT,LIST:SELECT:itemtype_P4EventContent,9.122,2.924,2.924,2.250
LIST,SELECT,LIST:SELECT:section_Trafikmeldinger,7.849,5.592,5.592,3.484
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,7.327,5.470,5.470,4.355
MAP,SELECT,MAP:SELECT:Pladser,6.344,3.937,3.937,3.356
ACCEPTANCE,DENY,ACCEPTANCE:DENY:LocationAlways - Has been asked,5.508,5.342,5.342,5.338
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,5.356,2.346,2.346,1.833
LIST,SELECT,LIST:SELECT:itemtype_WebcamContent,5.329,1.472,1.472,1.015
LIST,SELECT,LIST:SELECT:section_Vejarbejder,3.736,2.714,2.714,2.238
MAP,SELECT,MAP:SELECT:P4 Trafik,3.685,2.462,2.462,1.838
GEOFENCE,ENTER,GEOFENCE:ENTER:10,3.643,3.220,3.220,1.702
LIST,SELECT,LIST:SELECT:section_Webkamera,3.534,2.261,2.261,1.638
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SUBSCRIPTIONS_OVERVIEW,3.500,2.942,2.942,2.197
EVENT,START,(not set),3.020,1.791,1.791,1.609
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,2.887,2.472,2.472,2.037
SUBSCRIPTIONS_OVERVIEW,OPEN,SUBSCRIPTIONS_OVERVIEW:OPEN:ROUTE_AREA,2.867,1.475,1.475,1.085
ACCEPTANCE,ACCEPT,ACCEPTANCE:ACCEPT:LocationAlways - Has been asked,2.635,2.565,2.565,2.563
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_ROUTE,2.635,2.514,2.514,2.393
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk/DA/trafik/sommertrafikken/Sider/Default.aspx,2.437,2.306,2.306,2.120
GEOFENCE,LEAVE,GEOFENCE:LEAVE:10,2.399,2.034,2.034,1.221
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,2.282,1.988,1.988,1.783
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,2.033,1.721,1.721,1.371
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,1.955,1.759,1.759,1.484
ACCEPTANCE,ACCEPT,ACCEPTANCE:ACCEPT:LocationAlways,1.940,1.933,1.933,1.927
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,1.493,1.326,1.326,1.095
LIST,SELECT,LIST:SELECT:section_P4 Trafik,1.362,842,842,549
LIST,SELECT,LIST:SELECT:section_Bro,1.158,751,751,689
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_OFF,1.135,1.078,1.078,1.045
WEBCAM,FOLLOW,(not set),992,472,472,365
LIST,SELECT,LIST:SELECT:section_Pladser,983,685,685,629
GEOFENCE,ENTER,GEOFENCE:ENTER:7,921,823,823,514
GEOFENCE,LEAVE,GEOFENCE:LEAVE:7,892,801,801,496
GEOFENCE,ENTER,GEOFENCE:ENTER:26,873,781,781,488
GEOFENCE,ENTER,GEOFENCE:ENTER:27,848,770,770,479
