# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20180601-20180630
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
MAP,SELECT,MAP:SELECT:Trafikinfo,275.704,143.345,143.345,34.778
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,130.548,60.286,60.286,22.391
WEBCAM,OPEN,(not set),42.068,11.788,11.788,5.697
NAVIGATIONMENU,OPEN,(not set),28.589,16.237,16.237,10.758
MAP,SELECT,MAP:SELECT:Webkamera,24.658,14.560,14.560,7.659
EVENT,SELECT,EVENT:SELECT:CENTERPOSITION_ICON,23.729,17.548,17.548,8.700
MAP,SELECT,MAP:SELECT:Vejarbejde,16.415,11.392,11.392,7.949
EVENT,OPEN,EVENT:OPEN:fullscreen,10.882,8.745,8.745,5.352
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,9.794,7.377,7.377,4.922
LIST,OPEN,(not set),9.350,7.266,7.266,5.190
FEEDBACK,SELECT,FEEDBACK:SELECT:phonelink:80202060,8.756,7.412,7.412,5.760
LIST,SELECT,LIST:SELECT:itemtype_P4EventContent,8.052,3.113,3.113,2.359
LIST,SELECT,LIST:SELECT:section_Trafikmeldinger,7.265,5.106,5.106,3.152
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,6.388,2.735,2.735,1.982
MAP,SELECT,MAP:SELECT:Pladser,6.126,3.847,3.847,3.298
SUBSCRIPTIONS_OVERVIEW,SELECT,SUBSCRIPTIONS_OVERVIEW:SELECT:ADD_ROUTE,5.210,4.997,4.997,4.832
MAP,SELECT,MAP:SELECT:P4 Trafik,4.468,3.019,3.019,2.007
GEOFENCE,ENTER,GEOFENCE:ENTER:10,3.895,3.454,3.454,1.621
SUBSCRIPTIONS_OVERVIEW,OPEN,SUBSCRIPTIONS_OVERVIEW:OPEN:ROUTE_AREA,3.837,1.818,1.818,1.401
LIST,SELECT,LIST:SELECT:section_Vejarbejder,3.503,2.523,2.523,2.067
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SUBSCRIPTIONS_OVERVIEW,3.492,2.963,2.963,2.240
LIST,SELECT,LIST:SELECT:itemtype_WebcamContent,3.344,1.152,1.152,843
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,3.088,2.643,2.643,2.018
LIST,SELECT,LIST:SELECT:section_Webkamera,2.723,1.762,1.762,1.377
GEOFENCE,LEAVE,GEOFENCE:LEAVE:10,2.473,2.094,2.094,1.072
EVENT,START,(not set),2.372,1.463,1.463,1.315
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,2.308,1.945,1.945,1.404
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,2.037,1.752,1.752,1.562
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,2.023,1.801,1.801,1.422
