# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20170501-20170531
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
MAP,SELECT,MAP:SELECT:Trafikmeldinger,200.656,113.913,113.913,31.259
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,89.340,43.850,43.850,17.190
WEBCAM,OPEN,(not set),32.963,9.073,9.073,3.917
NAVIGATIONMENU,OPEN,(not set),21.001,12.521,12.521,8.814
EVENT,SELECT,EVENT:SELECT:CENTERPOSITION_ICON,20.860,12.365,12.365,5.754
LIST,OPEN,(not set),16.897,13.461,13.461,7.637
MAP,SELECT,MAP:SELECT:Webkamera,14.124,8.456,8.456,4.243
MAP,SELECT,MAP:SELECT:Vejarbejder,13.051,8.413,8.413,5.583
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,12.287,8.741,8.741,5.137
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,6.842,3.152,3.152,2.259
LIST,SELECT,LIST:SELECT:section:Vejarbejder,5.495,4.218,4.218,3.394
MAP,SELECT,MAP:SELECT:Pladser,5.242,3.410,3.410,2.638
EVENT,OPEN,EVENT:OPEN:fullscreen,4.315,3.651,3.651,3.157
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,4.173,3.046,3.046,2.435
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,3.754,2.957,2.957,2.277
LIST,SELECT,LIST:SELECT:section:Webkamera,3.671,2.485,2.485,1.967
LIST,SELECT,LIST:SELECT:section:P4 Trafik,3.591,2.367,2.367,1.469
EVENT,START,(not set),2.637,1.578,1.578,1.423
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,2.484,1.836,1.836,1.358
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,2.068,1.827,1.827,1.492
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,2.058,1.755,1.755,1.532
LIST,SELECT,LIST:SELECT:section:Pladser,1.889,1.257,1.257,1.153
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,1.434,1.217,1.217,1.000
LIST,SELECT,LIST:SELECT:section:Rejsetider,1.407,1.005,1.005,766
LIST,SELECT,LIST:SELECT:section:Bro,1.246,742,742,602
EVENT,OPEN,EVENT:OPEN:fullscreen:ferry,1.219,955,955,768
WEBCAM,FOLLOW,(not set),936,413,413,360
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_ON,932,860,860,801
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,761,672,672,642
LIST,SELECT,LIST:SELECT:section:Tunnel,554,437,437,402
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,534,477,477,447
LIST,SELECT,LIST:SELECT:section:Færger,508,337,337,290
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_OFF,468,430,430,397
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,395,343,343,334
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventB,293,231,231,210
EVENT,OPEN,EVENT:OPEN:fullscreen:trim,290,209,209,155
LIST,SELECT,LIST:SELECT:subsection:rejsetider,290,209,209,155
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://vejdirektoratet.dk/DA/trafik/helligdagstrafik/Sider/Default.aspx?utm_source=trafikinfoApp&utm_medium=link&utm_content=&utm_campaign=storebededag17,261,237,237,224
FEEDBACK,SELECT,FEEDBACK:SELECT:phonelink:80202060,241,220,220,172
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:FEEDBACK,176,161,161,153
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk/DA/trafik/helligdagstrafik/Sider/kristihimmelfart.aspx?utm_source=trafikinfoApp&utm_medium=link&utm_content=&utm_campaign=kristihimmelfart17,175,164,164,159
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:vintertrafik://launch,149,138,138,131
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventB,40,36,36,36
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk/DA/trafik/helligdagstrafik/Sider/pinsetrafikken.aspx?utm_source=trafikinfoApp&utm_medium=link&utm_content=&utm_campaign=pinsetrafik17,26,25,25,25
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SENDPOSITION_ON,8,8,8,8
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://Www.vejdirektoratet.dk,6,6,6,6
LIST,SELECT,LIST:SELECT:section:Bro og Tunnel,5,4,4,4
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SENDPOSITION_OFF,5,5,5,5
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:https://trafikkort.vejdirektoratet.dk/,4,1,1,1
ERROR,ERROR,ERROR:ERROR:Push check - invalid local subscription found. Area ID is nil!,3,3,3,3
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk,2,2,2,2
MAP,SELECT,MAP:SELECT:Listevisning,1,1,1,1
