# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20170301-20170331
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
MAP,SELECT,MAP:SELECT:Trafikmeldinger,147.435,87.863,87.863,24.416
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,58.060,31.170,31.170,12.373
WEBCAM,OPEN,(not set),26.701,7.248,7.248,3.360
NAVIGATIONMENU,OPEN,(not set),15.888,8.994,8.994,6.413
EVENT,SELECT,EVENT:SELECT:CENTERPOSITION_ICON,14.508,8.857,8.857,4.216
LIST,OPEN,(not set),11.938,9.525,9.525,5.299
MAP,SELECT,MAP:SELECT:Webkamera,11.931,6.959,6.959,3.616
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,9.091,6.592,6.592,3.871
MAP,SELECT,MAP:SELECT:Vejarbejder,7.106,4.873,4.873,3.503
LIST,SELECT,LIST:SELECT:section:Vejarbejder,3.643,2.712,2.712,2.309
LIST,SELECT,LIST:SELECT:section:Webkamera,3.473,2.236,2.236,1.720
MAP,SELECT,MAP:SELECT:Pladser,3.339,2.230,2.230,1.667
EVENT,OPEN,EVENT:OPEN:fullscreen,3.235,2.747,2.747,2.348
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,2.938,2.179,2.179,1.743
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,2.590,1.330,1.330,1.132
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,2.445,1.953,1.953,1.580
LIST,SELECT,LIST:SELECT:section:P4 Trafik,2.251,1.299,1.299,953
EVENT,START,(not set),1.633,988,988,889
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,1.615,1.418,1.418,1.193
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,1.521,1.147,1.147,913
LIST,SELECT,LIST:SELECT:section:Pladser,1.399,869,869,784
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,1.323,1.112,1.112,958
WEBCAM,FOLLOW,(not set),1.196,353,353,271
LIST,SELECT,LIST:SELECT:section:Bro,1.190,617,617,496
LIST,SELECT,LIST:SELECT:section:Rejsetider,1.148,796,796,626
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,1.111,943,943,793
LIST,SELECT,LIST:SELECT:section:Tunnel,934,600,600,536
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,751,629,629,579
LIST,SELECT,LIST:SELECT:section:Færger,530,367,367,321
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,524,444,444,411
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SENDPOSITION_ON,375,343,343,329
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_ON,304,278,278,269
EVENT,OPEN,EVENT:OPEN:fullscreen:ferry,299,244,244,200
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:vintertrafik://launch,289,226,226,209
LIST,SELECT,LIST:SELECT:subsection:rejsetider,243,148,148,110
EVENT,OPEN,EVENT:OPEN:fullscreen:trim,237,147,147,109
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,227,196,196,193
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:FEEDBACK,215,195,195,182
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SENDPOSITION_OFF,189,163,163,157
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk,147,123,123,120
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_OFF,107,93,93,88
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventB,64,51,51,49
FEEDBACK,SELECT,FEEDBACK:SELECT:phonelink:80202060,41,25,25,20
LIST,SELECT,LIST:SELECT:section:Bro og Tunnel,28,24,24,20
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventB,17,15,15,15
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk/DA/trafik/p%C3%A5sketrafikken-2017/Sider/Default.aspx?utm_source=TrafikinfoApp&utm_medium=link&utm_content=&utm_campaign=paasketrafik17,17,16,16,15
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk/DA/trafik/påsketrafikken-2017/Sider/Default.aspx?utm_source=TrafikinfoApp&utm_medium=link&utm_content=&utm_campaign=paasketrafik17,15,3,3,3
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.jp.dk,8,5,5,4
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://Www.vejdirektoratet.dk,6,6,6,6
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:https://goo.gl/GyO1jO,2,1,1,1
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk/DA/trafik/påsketrafikken-2017/Sider/Default.aspx,1,1,1,1
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://www.vejdirektoratet.dk/da/trafik/vinterferien/sider/default.aspx?utm_source=trafikinfoApp&utm_medium=link&utm_content=&utm_campaign=vinterferietrafik17,1,1,1,1
