# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20161101-20161130
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
MAP,SELECT,MAP:SELECT:Trafikmeldinger,42.761,24.985,24.985,10.831
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,19.456,10.268,10.268,5.569
WEBCAM,OPEN,(not set),6.719,1.936,1.936,1.233
EVENT,SELECT,EVENT:SELECT:CENTERPOSITION_ICON,5.018,2.925,2.925,1.851
NAVIGATIONMENU,OPEN,(not set),4.721,2.565,2.565,2.107
LIST,OPEN,(not set),3.747,3.000,3.000,2.088
MAP,SELECT,MAP:SELECT:Webkamera,3.631,2.087,2.087,1.418
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,3.253,2.396,2.396,1.740
MAP,SELECT,MAP:SELECT:Vejarbejder,2.363,1.446,1.446,1.219
LIST,SELECT,LIST:SELECT:section:Vejarbejder,1.239,963,963,871
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,1.169,907,907,817
EVENT,OPEN,EVENT:OPEN:fullscreen,1.145,955,955,890
LIST,SELECT,LIST:SELECT:section:Webkamera,1.032,728,728,642
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,923,466,466,433
EVENT,START,(not set),621,352,352,338
LIST,SELECT,LIST:SELECT:section:Rejsetider,492,357,357,326
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,480,416,416,390
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SENDPOSITION_ON,389,357,357,339
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,263,223,223,206
EVENT,OPEN,EVENT:OPEN:fullscreen:ferry,256,201,201,162
WEBCAM,FOLLOW,(not set),251,108,108,101
LIST,SELECT,LIST:SELECT:section:Færger,245,165,165,138
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:SENDPOSITION_OFF,227,188,188,175
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,225,205,205,191
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,215,187,187,185
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,196,144,144,133
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:vintertrafik://launch,192,158,158,144
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,127,98,98,95
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:link:http://Www.vejdirektoratet.dk,127,118,118,113
EVENT,OPEN,EVENT:OPEN:fullscreen:trim,96,69,69,59
LIST,SELECT,LIST:SELECT:subsection:rejsetider,96,69,69,59
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:FEEDBACK,86,80,80,79
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventB,22,18,18,18
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventB,6,6,6,6
FEEDBACK,SELECT,FEEDBACK:SELECT:phonelink:80202060,3,3,3,3
LIST,SELECT,LIST:SELECT:section:Bro og Tunnel,2,1,1,1
