# ----------------------------------------
# Alle mobilappdata
# Rapport til statistik
# 20170901-20170930
# ----------------------------------------

Hændelseskategori,Handling ved hændelse,Hændelsesetiket,Al aktivitet,Sessioner,Unikke hændelser,Brugere
MAP,SELECT,MAP:SELECT:Trafikinfo,240.022,126.316,126.316,34.280
EVENT,OPEN,EVENT:OPEN:fullscreen:traffic,99.455,49.443,49.443,19.391
WEBCAM,OPEN,(not set),32.561,8.971,8.971,3.929
NAVIGATIONMENU,OPEN,(not set),21.179,13.331,13.331,9.210
MAP,SELECT,MAP:SELECT:Vejarbejde,16.377,10.964,10.964,7.761
EVENT,SELECT,EVENT:SELECT:CENTERPOSITION_ICON,14.908,9.170,9.170,4.179
LIST,OPEN,(not set),12.134,8.760,8.760,5.944
MAP,SELECT,MAP:SELECT:Webkamera,11.955,7.396,7.396,3.437
MAP,SELECT,MAP:SELECT:Trafikmeldinger,10.880,6.360,6.360,1.896
EVENT,OPEN,EVENT:OPEN:fullscreen,8.371,7.052,7.052,5.747
LIST,SELECT,LIST:SELECT:itemtype_P4EventContent,7.878,3.068,3.068,2.297
LIST,SELECT,LIST:SELECT:section_Trafikmeldinger,7.766,5.491,5.491,3.488
ACTIONBAR,SELECT,ACTIONBAR:SELECT:PLAY_ICON,7.587,5.679,5.679,4.108
EVENT,OPEN,EVENT:OPEN:fullscreen:roadwork,7.243,3.280,3.280,2.485
LIST,SELECT,LIST:SELECT:itemtype_WebcamContent,5.451,1.801,1.801,1.291
LIST,SELECT,LIST:SELECT:section_Webkamera,3.956,2.654,2.654,2.031
LIST,SELECT,LIST:SELECT:section_Vejarbejder,3.740,2.780,2.780,2.321
EVENT,START,(not set),3.131,1.846,1.846,1.626
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,3.085,2.471,2.471,1.951
MAP,SELECT,MAP:SELECT:P4 Trafik,3.060,2.219,2.219,1.637
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventA,2.340,2.002,2.002,1.716
MAP,SELECT,MAP:SELECT:Pladser,2.029,1.328,1.328,1.165
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,2.003,1.521,1.521,1.145
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_ON,1.963,1.708,1.708,1.437
MAP,SELECT,MAP:SELECT:Listevisning,1.759,1.280,1.280,997
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_OFF,1.585,1.473,1.473,1.440
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,1.350,1.147,1.147,974
LIST,SELECT,LIST:SELECT:section_Bro,1.260,747,747,601
WEBCAM,FOLLOW,(not set),1.232,442,442,378
EVENT,OPEN,EVENT:OPEN:fullscreen:ferry,1.140,795,795,678
LIST,SELECT,LIST:SELECT:section_P4 Trafik,1.125,576,576,332
LIST,SELECT,LIST:SELECT:itemtype_TrafficContent,1.080,737,737,568
LIST,SELECT,LIST:SELECT:section_Pladser,1.061,751,751,707
LIST,SELECT,LIST:SELECT:itemtype_RoadworkContent,758,485,485,455
LIST,SELECT,LIST:SELECT:section_Tunnel,697,480,480,430
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:GUIDE,628,563,563,532
LIST,SELECT,LIST:SELECT:itemtype_BridgeContent,553,285,285,178
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:ABOUT_APP,525,478,478,451
LIST,SELECT,LIST:SELECT:section_Færger,485,333,333,294
EVENT,UNFOLLOW,EVENT:UNFOLLOW:TrafficEventA,425,372,372,359
LIST,SELECT,LIST:SELECT:section:Trafikmeldinger,425,299,299,213
LIST,SELECT,LIST:SELECT:section_Rejsetider,398,309,309,307
MAP,SELECT,MAP:SELECT:Vejarbejder,390,272,272,204
FEEDBACK,SELECT,FEEDBACK:SELECT:phonelink:80202060,312,285,285,245
PLACE,OPEN,PLACE:OPEN:samkoersel,307,195,195,185
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_ON,291,271,271,254
EVENT,FOLLOW,EVENT:FOLLOW:TrafficEventB,270,183,183,160
LIST,SELECT,LIST:SELECT:itemtype_TunnelContent,268,94,94,84
NAVIGATIONMENU,SELECT,NAVIGATIONMENU:SELECT:applink:vintertrafik://launch,258,233,233,222
PLACE,OPEN,PLACE:OPEN:rasteplads,226,124,124,114
