# ----------------------------------------
# Alle mobilappdata
# Vigtigste hændelser
# 20180201-20180228
# ----------------------------------------

Hændelsesetiket,Al aktivitet,Unikke hændelser,Hændelsesværdi,Gennemsnitlig værdi
SCREEN:START:MainActivity,324.334,99.804,0,"0,00"
MAP:SELECT:Trafikinfo,147.302,93.410,0,"0,00"
MAP:SELECT:Webkamera,102.390,18.081,0,"0,00"
EVENT:OPEN:fullscreen:traffic,98.155,47.587,0,"0,00"
(not set),14.250,10.251,0,"0,00"
MAP:SELECT:Vejarbejde,13.412,7.756,0,"0,00"
LIST:OPEN:P4LIST,12.615,10.339,0,"0,00"
ACTIONBAR:SELECT:CENTERPOSITION_ICON,9.635,7.325,0,"0,00"
ACTIONBAR:SELECT:PLAY_ICON,8.151,5.764,0,"0,00"
LIST:SELECT:section:Trafikmeldinger,5.968,2.715,0,"0,00"
MAP:SELECT:Pladser,5.454,3.574,0,"0,00"
EVENT:OPEN:fullscreen:roadwork,3.974,1.997,0,"0,00"
LIST:SELECT:section:Webkamera,3.122,1.006,0,"0,00"
GEOFENCE:ENTER:7,2.867,2.834,0,"0,00"
GEOFENCE:LEAVE:7,2.798,2.763,0,"0,00"
GEOFENCE:ENTER:6,2.788,2.756,0,"0,00"
GEOFENCE:LEAVE:6,2.733,2.699,0,"0,00"
WEBCAM:OPEN:Fullscreen:Rute-38-Aakirkeby,2.597,2.265,0,"0,00"
LIST:SELECT:section:Vejarbejder,2.379,1.173,0,"0,00"
LIST:SELECT:section:P4 Trafik,2.230,1.620,0,"0,00"
MAP:SELECT:Trafikmeldinger,2.081,797,0,"0,00"
WEBCAM:OPEN:Fullscreen:E45-Hylkedalbroen-S,1.411,1.267,0,"0,00"
WEBCAM:OPEN:Fullscreen:Bakkebølle---Ø,1.266,1.042,0,"0,00"
WEBCAM:OPEN:Fullscreen:E45-Horsens---V,1.204,1.059,0,"0,00"
NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,1.183,1.049,0,"0,00"
WEBCAM:OPEN:Fullscreen:E47-Ønslev,1.179,965,0,"0,00"
WEBCAM:OPEN:Fullscreen:E47/E55-Bårse-S,1.160,1.008,0,"0,00"
WEBCAM:OPEN:Fullscreen:E45-Ejer-Bavnehøj-V---N,1.134,992,0,"0,00"
LIST:SELECT:itemtype_WebCam,1.120,516,0,"0,00"
WEBCAM:OPEN:Fullscreen:E45-Haderslev,1.083,971,0,"0,00"
WEBCAM:OPEN:Fullscreen:Taulov-M50-MTX---V,1.013,911,0,"0,00"
NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_OFF,993,898,0,"0,00"
NAVIGATIONMENU:SELECT:AUTOPLAY_ON,974,899,0,"0,00"
