# ----------------------------------------
# Alle mobilappdata
# Vigtigste hændelser
# 20180101-20180131
# ----------------------------------------

Hændelsesetiket,Al aktivitet,Unikke hændelser,Hændelsesværdi,Gennemsnitlig værdi
SCREEN:START:MainActivity,208.995,84.121,0,"0,00"
MAP:SELECT:Trafikinfo,115.318,78.153,0,"0,00"
EVENT:OPEN:fullscreen:traffic,71.513,37.245,0,"0,00"
MAP:SELECT:Webkamera,21.445,4.871,0,"0,00"
(not set),16.796,12.247,0,"0,00"
MAP:SELECT:Vejarbejde,11.746,6.493,0,"0,00"
LIST:OPEN:P4LIST,9.848,8.023,0,"0,00"
ACTIONBAR:SELECT:CENTERPOSITION_ICON,7.536,5.785,0,"0,00"
ACTIONBAR:SELECT:PLAY_ICON,6.927,4.530,0,"0,00"
LIST:SELECT:section:Trafikmeldinger,5.260,2.744,0,"0,00"
LIST:SELECT:section:Webkamera,4.074,1.237,0,"0,00"
EVENT:OPEN:fullscreen:roadwork,3.565,1.813,0,"0,00"
LIST:SELECT:section:Vejarbejder,2.785,1.464,0,"0,00"
MAP:SELECT:Trafikmeldinger,2.185,889,0,"0,00"
MAP:SELECT:Pladser,1.899,851,0,"0,00"
LIST:SELECT:section:P4 Trafik,1.711,1.162,0,"0,00"
GEOFENCE:ENTER:7,1.401,1.386,0,"0,00"
GEOFENCE:LEAVE:7,1.385,1.371,0,"0,00"
GEOFENCE:ENTER:6,1.351,1.341,0,"0,00"
GEOFENCE:LEAVE:6,1.329,1.319,0,"0,00"
LIST:SELECT:itemtype_WebCam,1.306,690,0,"0,00"
LIST:SELECT:section:Pladser,1.247,526,0,"0,00"
NAVIGATIONMENU:SELECT:P4_AUTOPLAY_ON,1.000,868,0,"0,00"
NAVIGATIONMENU:SELECT:EMERGENCY_PHONE_OFF,893,790,0,"0,00"
NAVIGATIONMENU:SELECT:AUTOPLAY_ON,846,779,0,"0,00"
LIST:SELECT:section:Bro og Tunnel,727,503,0,"0,00"
NAVIGATIONMENU:SELECT:applink:Vintertrafik app,710,651,0,"0,00"
LIST:SELECT:itemtype_Traffic,668,459,0,"0,00"
NAVIGATIONMENU:SELECT:P4_AUTOPLAY_OFF,652,551,0,"0,00"
LIST:SELECT:section:Færger,624,364,0,"0,00"
LIST:SELECT:itemtype_P4Area,604,384,0,"0,00"
NAVIGATIONMENU:SELECT:AUTOPLAY_OFF,518,468,0,"0,00"
EVENT:FOLLOW:TrafficEventA,472,410,0,"0,00"
WEBCAM:OPEN:Fullscreen:E45-Horsens---V,436,392,0,"0,00"
NAVIGATIONMENU:SELECT:GUIDE,434,391,0,"0,00"
NAVIGATIONMENU:SELECT:ABOUT_APP,353,307,0,"0,00"
PLACE:OPEN:rasteplads,351,145,0,"0,00"
App start: TrafikinfoApplication,320,197,0,"0,00"
PLACE:OPEN:samkoersel,278,157,0,"0,00"
WEBCAM:OPEN:Fullscreen:Rute-180-Limfj.broen-N,256,200,0,"0,00"
Area/MapChange/Trafikmeldinger,235,165,0,"0,00"
WEBCAM:OPEN:Fullscreen:E20-Storebæltbroen,231,210,0,"0,00"
LIST:SELECT:itemtype_RoadWork,220,157,0,"0,00"
"WEBCAM:OPEN:Fullscreen:E45/15-Århus-V,-mod-Ø",218,196,0,"0,00"
WEBCAM:OPEN:Fullscreen:E45-Randers,209,174,0,"0,00"
WEBCAM:OPEN:Fullscreen:E45-Aalborg,203,169,0,"0,00"
WEBCAM:OPEN:Fullscreen:E45-Hylkedalbroen-S,180,168,0,"0,00"
WEBCAM:OPEN:Fullscreen:Rute-16-Holstebro-Ø---V,178,161,0,"0,00"
WEBCAM:OPEN:Fullscreen:Søften---N,173,151,0,"0,00"
WEBCAM:OPEN:Fullscreen:E45-Tilst,172,155,0,"0,00"
WEBCAM:OPEN:Fullscreen:E45-Ejer-Bavnehøj-V---N,171,149,0,"0,00"
WEBCAM:OPEN:Fullscreen:E20-Lillebæltsbroen,169,160,0,"0,00"
"WEBCAM:OPEN:Fullscreen:E45-Vejle-N,-mod-S",160,145,0,"0,00"
WEBCAM:OPEN:Fullscreen:E20-Nyborg-C---S,148,126,0,"0,00"
EVENT:UNFOLLOW:TrafficEventA,146,116,0,"0,00"
WEBCAM:OPEN:Fullscreen:Vemmelev---V,145,123,0,"0,00"
WEBCAM:OPEN:Fullscreen:E20/E47-Solrød,144,131,0,"0,00"
WEBCAM:FOLLOW:Rute 180 Limfj.broen N,140,12,0,"0,00"
WEBCAM:OPEN:Fullscreen:Vejle-Bredstenvej---Ø,138,136,0,"0,00"
WEBCAM:OPEN:Fullscreen:E20-Vissenbjerg-Ø,133,126,0,"0,00"
WEBCAM:OPEN:Fullscreen:E45-Vejlefjordbroen-S,133,127,0,"0,00"
Area/Custom,132,102,0,"0,00"
WEBCAM:OPEN:Fullscreen:E45-Haderslev,131,123,0,"0,00"
WEBCAM:OPEN:Fullscreen:E20/E47-Karlslunde-rasteplads---S,129,120,0,"0,00"
